00:20.325 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:65
00:21.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:180
00:21.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:21.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:21.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:65
00:21.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:21.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:23.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-56,movement:1,seqno:181
00:23.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:23.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:23.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:65
00:23.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:23.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:23.790 OUT,type:FREQ,seqno:65,freq:11,grace:1000
00:24.077 OUT,type:DATA_AA,tx:24,rx:1,rssi:-56,seqno:66
00:24.325 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:66
00:24.700 OUT,type:DATA_AA,tx:21,rx:1,rssi:-63,seqno:66
00:25.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:182
00:25.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:66
00:25.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:25.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:25.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:25.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:25.475 OUT,type:DATA_AA,tx:7,rx:21,rssi:-54,seqno:66
00:25.476 OUT,type:DATA_AA,tx:1,rx:21,rssi:-64,seqno:65
00:25.477 OUT,type:DATA_AA,tx:24,rx:21,rssi:-58,seqno:66
00:25.479 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:25.497 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:25.498 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:25.498 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:25.500 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:65
00:25.501 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:66
00:25.502 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:25.513 OUT,type:DATA_BA,tx:7,rx:21,rssi:-62,movement:1,seqno:180
00:25.514 OUT,type:DATA_BA,tx:7,rx:21,rssi:-59,movement:1,seqno:181
00:25.537 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:182
00:25.721 OUT,type:DATA_AA,tx:7,rx:24,rssi:-54,seqno:66
00:25.723 OUT,type:DATA_AA,tx:1,rx:24,rssi:-63,seqno:65
00:25.724 OUT,type:DATA_AA,tx:21,rx:24,rssi:-55,seqno:66
00:25.744 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:65
00:25.745 OUT,type:DATA_AB,tx:1,rx:7,rssi:-59,seqno:64
00:25.746 OUT,type:DATA_AB,tx:24,rx:7,rssi:-57,seqno:65
00:25.747 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:25.748 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:25.749 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:66
00:25.755 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:25.758 OUT,type:DATA_BA,tx:7,rx:24,rssi:-60,movement:1,seqno:180
00:25.762 OUT,type:DATA_BA,tx:7,rx:24,rssi:-60,movement:1,seqno:181
00:25.786 OUT,type:DATA_BA,tx:7,rx:24,rssi:-60,movement:1,seqno:182
00:26.075 OUT,type:DATA_AA,tx:21,rx:1,rssi:-64,seqno:66
00:27.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:183
00:27.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
00:27.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:27.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:27.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:27.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:29.228 OUT,type:DATA_BA,tx:7,rx:1,rssi:-61,movement:1,seqno:184
00:29.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
00:29.230 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:29.231 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:29.232 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:29.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:29.451 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:66
00:31.229 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:185
00:31.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
00:31.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:65
00:31.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:31.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:31.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:32.799 OUT,type:FREQ,seqno:66,freq:18,grace:1000
00:33.077 OUT,type:DATA_AA,tx:21,rx:1,rssi:-64,seqno:67
00:33.200 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:67
00:33.451 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:67
00:33.606 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:255,seqno:186
00:33.607 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
00:33.608 OUT,type:DATA_AB,tx:1,rx:7,rssi:-61,seqno:66
00:33.609 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:33.610 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:33.611 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:33.847 OUT,type:DATA_AA,tx:21,rx:24,rssi:-55,seqno:67
00:33.849 OUT,type:DATA_AA,tx:1,rx:24,rssi:-62,seqno:66
00:33.850 OUT,type:DATA_AA,tx:7,rx:24,rssi:-54,seqno:67
00:33.851 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:66
00:33.869 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:33.870 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:33.871 OUT,type:DATA_AB,tx:21,rx:7,rssi:-59,seqno:66
